Date,TwoEngine_70_30,Engine1_Carry,Engine2_Directional,SP500_SPY,NASDAQ_QQQ,60_40_SPY_AGG,BTC_Overlay_30pct
2018-01-05,993489.2330763056,987442.7426150294,1007643.1315414765,1064482.5522111696,1055752.8532687891,1037858.049720783,1355263.3280397994
2018-01-08,996035.490576383,990887.3442041045,1008047.0159435066,1066429.2913087544,1059860.5664981352,1038882.695562199,1301787.9519812006
2018-01-09,995517.9989466603,990095.1607311163,1008181.6800488239,1068842.9597030662,1059925.6684534585,1039149.9989992534,1287114.7293041185
2018-01-10,996029.6519751751,990765.4266528876,1008316.3621437994,1067208.1350297334,1057447.810456653,1038196.3539147801,1297232.7586811169
2018-01-11,994250.3908595832,988180.3352387603,1008451.0622308364,1074994.4183203215,1064685.4495767008,1042932.0676505314,1256613.2999226102
2018-01-12,993410.8896044253,987103.7584110287,1008176.2986210142,1082002.194439806,1072509.9498012553,1046934.4520212456,1272894.732418364
2018-01-16,983665.6084305629,989805.1230852432,968836.6974643096,1078303.7132422752,1069445.0210318102,1044903.11520144,1205114.2736387597
2018-01-17,980609.8920222549,988193.9126340956,962484.3759240283,1088581.4079483256,1080985.9937493736,1050417.600051128,1195728.046677061
2018-01-18,983619.7924271962,990146.64185315,967894.1015161448,1086751.5189673791,1081181.5092834758,1048429.9897735383,1205018.9698710635
2018-01-19,981057.0301774893,985569.9372550304,969927.1133813137,1091696.648212291,1084572.157497669,1050402.6496637561,1209305.939014895
2018-01-22,980178.5473605257,988344.622177247,960179.4580522218,1100572.8146184345,1096178.3370046217,1055371.7419869972,1191301.3531813913
2018-01-23,980998.428720731,990402.6620043829,958191.3881822448,1102908.538061671,1105241.13722318,1057730.276594871,1189353.0372054363
2018-01-24,984495.53734072,989947.8360564172,970604.149666501,1102480.1100706565,1098069.0193947211,1057054.5060330832,1205583.620471903
2018-01-25,983641.1581956714,989390.8522509293,969070.6379248034,1102947.577847184,1097677.7786583833,1058416.7395253798,1202512.4298464672
2018-01-26,983066.7469209129,989126.9932701471,967787.3221253315,1115717.0878285465,1114499.9771461727,1064989.1890573816,1199805.339788224
2018-01-29,988718.3277710332,992145.4267657502,979334.66553188,1108320.1254334853,1109088.128129034,1060005.924480906,1204565.548165837
2018-01-30,981694.7982779314,993375.9578047686,953310.9302465378,1096951.6725822045,1099959.7017848203,1052815.7636604302,1166607.1023047902
2018-01-31,983370.9295346271,993432.4551405588,958609.9835325726,1097497.1526197824,1104523.7577058275,1053480.981084526,1170691.7227464982
2018-02-01,976055.6057249191,993298.927501638,935140.2053829996,1096251.379602076,1095135.0283743879,1051442.81365457,1134702.887331796
2018-02-02,969678.0180940464,990888.819094205,920067.0422475092,1072385.9548582966,1073292.0119376644,1036457.2124247182,1122195.9742871388
2018-02-05,971731.1888898233,993715.1701818507,920435.8243247684,1027535.7703717516,1030975.8458117318,1012111.6048861982,1049493.3184302326
2018-02-06,973124.7891503386,995694.1752500238,920558.7845288306,1047780.7261790509,1058295.603552784,1022910.2115771099,1085748.00402775
2018-02-07,973367.0831514974,995991.3313669587,920681.7611590371,1042096.735338323,1044603.3309556964,1018665.7482918744,1080275.1614650532
2018-02-08,974789.0786795006,998012.9475037331,920804.7542175825,1003008.8231934564,1000526.6863503106,995055.520334686,1107773.4963956678
2018-02-09,974493.1962201052,997523.0492010098,920927.7637066613,1018075.6226223178,1017805.1226956943,1003502.6627953772,1126830.145962274
2018-02-12,978128.222636189,1002669.0381347059,921296.8907790491,1033025.706554491,1035866.2501818867,1012457.0738076577,1135911.3723566968
2018-02-13,976203.4361787714,999792.9492492834,921419.966012214,1035595.0629210285,1041212.7875755692,1014081.6179348489,1123486.1818266744
2018-02-14,977079.995551189,1001018.1958154802,921543.0576868899,1049571.3061345844,1060708.2547602,1020926.1428905023,1158726.1764369148
2018-02-15,974477.9139387106,997152.5537297501,921666.1658052732,1062964.37572455,1080399.2374789333,1029241.4240455612,1183429.4263145963
2018-02-16,971290.79739647,992436.4986124443,921789.2903695607,1063275.4151191267,1075574.3544003677,1030233.3520709334,1185897.3119641845
2018-02-20,974465.0596134588,996839.0490868875,922281.9531296968,1056618.6605193818,1077725.7591139588,1025938.8396886124,1227244.8842608372
2018-02-21,973330.510696118,995123.9797587194,922405.1599564659,1051362.6938098185,1074661.3545148463,1021569.1324274152,1204330.44962513
2018-02-22,972551.1995936654,993928.777364298,922528.3832423256,1052725.0477042624,1074530.8361020007,1022401.889637641,1181278.869854588
2018-02-23,973184.032598717,994795.7914256989,922651.6229894746,1069504.8859974323,1096504.161283437,1033217.9266327422,1191877.3763875742
2018-02-26,974222.7084231104,996141.478074953,923021.441020649,1081924.3841086808,1111043.9124744567,1040726.8226457647,1195429.3929360807
2018-02-27,975704.059873126,998248.2750373494,923144.7466349485,1068414.666332002,1097286.223419846,1032032.3176264121,1207957.0571965245
2018-02-28,976875.9538489307,999903.9389574882,923268.0687215355,1057591.6262083238,1090244.5191701665,1026883.8098768891,1196998.003425416
2018-03-01,975393.3532743393,997678.7633352887,923391.4072826105,1042213.5181449859,1072444.3236755992,1018291.2711757204,1216211.653380019
